Parlamentar; Gasto Acumulado ; Média Mensal ;% Uso da Verba
Henrique Queiroz - PR; 540.750,00 ; 15.450,00 ;100%
Lula Cabral - PSB; 355.350,00 ; 15.450,00 ;100%
Everaldo Cabral - PP; 540.743,70 ; 15.449,82 ;100%
Botafogo - PDT; 308.938,92 ; 15.446,95 ;100%
Pedro Serafim Neto - PDT; 540.641,00 ; 15.446,89 ;100%
Paulinho Tomé - PRP; 185.362,00 ; 15.446,83 ;100%
Beto Accioly - PP; 540.627,63 ; 15.446,50 ;100%
Joel da Harpa - PP; 539.869,71 ; 15.424,85 ;100%
Aglailson Júnior - PSB; 354.770,80 ; 15.424,82 ;100%
Augusto César - PRB; 555.202,24 ; 15.422,28 ;100%
Ricardo Costa - PP; 538.744,14 ; 15.392,69 ;100%
Zé Maurício - PP; 538.260,50 ; 15.378,87 ;100%
Francismar Pontes - PSB; 538.225,39 ; 15.377,87 ;100%
Miguel Coelho - PSB; 353.506,14 ; 15.369,83 ;99%
Julio Cavalcanti - PTB; 536.330,49 ; 15.323,73 ;99%
João Eudes - PP; 536.041,11 ; 15.315,46 ;99%
Gustavo Negromonte - PMDB; 183.505,82 ; 15.292,15 ;99%
Sílvio Costa Filho - PRB; 535.126,40 ; 15.289,33 ;99%
Romário Dias - PSD; 530.469,41 ; 15.156,27 ;98%
Álvaro Porto - PTB; 528.750,03 ; 15.107,14 ;98%
Dr. Valdi - PP; 527.922,28 ; 15.083,49 ;98%
Marcantônio Dourado - PSB; 527.343,59 ; 15.066,96 ;98%
Ângelo Ferreira - PSB; 361.237,63 ; 15.051,57 ;97%
Jadeval de Lima - PMN; 180.207,64 ; 15.017,30 ;97%
Antônio Moraes - PP; 524.449,68 ; 14.984,28 ;97%
Clodoaldo Magalhães - PSB; 539.064,63 ; 14.974,02 ;97%
Waldemar Borges - PSB; 524.001,50 ; 14.971,47 ;97%
Tony Gel - PMDB; 537.606,04 ; 14.933,50 ;97%
Terezinha Nunes - PSDB; 177.931,10 ; 14.827,59 ;96%
José Humberto Cavalcanti - PTB; 518.145,93 ; 14.804,17 ;96%
Claudiano Martins Filho - PP; 517.253,52 ; 14.778,67 ;96%
Rodrigo Novaes - PSD; 530.119,95 ; 14.725,55 ;95%
Eriberto Medeiros - PP; 510.281,55 ; 14.579,47 ;94%
Eduíno Brito - PP; 500.950,66 ; 14.312,88 ;93%
Professor Lupércio - SD; 325.745,10 ; 14.162,83 ;92%
Laura Gomes - PSB; 169.051,72 ; 14.087,64 ;91%
Joaquim Lira - PSD; 492.588,38 ; 14.073,95 ;91%
André Ferreira - PSC; 489.653,03 ; 13.990,09 ;91%
Simone Santana - PSB; 488.893,30 ; 13.968,38 ;90%
Isaltino Nascimento - PSB; 165.860,91 ; 13.821,74 ;89%
Odacy Amorim - PT; 481.163,20 ; 13.747,52 ;89%
Socorro Pimentel - PTB; 411.805,52 ; 13.284,05 ;86%
Roberta Arraes - PP; 156.841,61 ; 13.070,13 ;85%
Teresa Leitão - PT; 468.881,64 ; 13.024,49 ;84%
Lucas Ramos - PSB; 448.867,30 ; 12.824,78 ;83%
Pastor Cleiton Collins - PP; 438.903,31 ; 12.540,09 ;81%
Bispo Ossesio Silva - PRB; 395.909,36 ; 11.644,39 ;75%
Guilherme Uchoa - PDT; 416.731,82 ; 11.575,88 ;75%
Aluísio Lessa - PSB; 402.109,34 ; 11.169,70 ;72%
Raquel Lyra - PSDB; 261.471,70 ; 10.894,65 ;71%
Priscila Krause - DEM; 359.668,36 ; 10.276,24 ;67%
Adalto Santos - PSB; 363.181,36 ; 10.088,37 ;65%
Edilson Silva - PSOL; 344.889,76 ; 9.853,99 ;64%
Vinícius Labanca - PP; 299.233,87 ; 9.351,06 ;61%
Total; 23.139.181,72 ; 14.074,93 ;91%
