Empresa; Valor Acumulado ; # Dep. Atendidos 
Barreto Santos Ltda; 1.806.205,53 ; 13,00 
LOPES & CONSULTORES ASSOCIADOS; 833.786,49 ; 8,00 
RW Produções; 821.263,07 ; 5,00 
Agil Serviços de Embalagens; 688.634,24 ; 4,00 
S e Silva Entregas Rápidas LTDA - ME; 626.869,33 ; 12,00 
Morais e Carneiro Leão Advogados Associados; 612.567,75 ; 4,00 
W J C Fernandes Junior Locação de Automoveis Ltda - ME; 557.782,50 ; 3,00 
Beltrão & Assunção Crusos, Assessoria e Qualificação Profissional; 385.774,05 ; 5,00 
Mello Medeiros Locações de Veículos Ltda; 377.311,95 ; 2,00 
Emilio Duarde Advocacia Plena; 371.465,50 ; 3,00 
Shirleidy Osny Dantas Papelaria; 278.958,02 ; 14,00 
IMKT AGENCIA E CONSULTORIA EM PUBLICIDADE LTDA EPP; 251.158,30 ; 1,00 
AGROPLAN LTDA; 249.974,60 ; 3,00 
PEDROSA DESIGN - ROBERTO PEDROSA DE SOUZA; 244.297,59 ; 2,00 
Marcos Lira e Rafhael Gomes Advogados; 216.901,30 ; 2,00 
AJA LOCADORA DE VEÍCULOS E SERVIÇOS LTDA; 209.862,50 ; 2,00 
F F Consultoria e Assessoria Técnica Ltda ME; 209.850,00 ; 4,00 
JCMH LOCADORA DE VEÍCULOS LTDA; 194.644,90 ; 1,00 
Pleno Consultoria e Projetos LTDA - ME; 193.297,00 ; 2,00 
J.F. CONSULTORIA TRIBUTÁRIA EMPRESARIAL EIRELI ME; 188.552,65 ; 6,00 
Empresa Brasileira de Correios e Telégrafos; 188.486,65 ; 13,00 
WALBER AGRA ADVOGADOS ASSOCIADOS; 188.063,07 ; 2,00 
EDITORA PARADOX ZERO EIRELI - ME; 185.542,50 ; 3,00 
M OLIVEIRA E MENDES BEZERRA ADVOGADOS ASSOCIADOS; 182.862,80 ; 1,00 
Office Paper Comercio e Servicos LTDA - ME; 179.220,54 ; 13,00 
HITT TECNOLOGIA CRIATIVA LTDA EPP; 177.021,86 ; 1,00 
O REI DO RETOQUE SERVIÇOS E AUTOPEÇAS EIRELI-ME; 175.027,24 ; 2,00 
ENGEMAK LTDA - ME; 169.826,00 ; 1,00 
S M LOPES COMINICAÇÃO E MARKETING LTDA; 167.600,00 ; 1,00 
Carlos José Gomes da Costa - ME; 167.400,00 ; 1,00 
Vigolvino Advogado e Consutoria Jurídica; 166.492,80 ; 1,00 
D S Locação de Veículos EIRELI - EPP; 164.087,50 ; 2,00 
Escritório de Advocacia Celio Avelino de Andrade; 155.262,80 ; 1,00 
Locadora de Veículos Confiança Ltda; 151.819,00 ; 1,00 
MCI MARKETING E COMUNICACAO LTDA; 150.552,00 ; 1,00 
Avant Locação de Veiculos Lta - ME; 149.380,70 ; 2,00 
F P DE S SALGADO COMUNICACAO ME; 143.136,00 ; 1,00 
MMR Locação de Automóveis Ltda; 141.124,62 ; 4,00 
Antonio Manoel de Andrade Junior; 130.950,00 ; -   
Alexandre Aoucha de Lacerda; 129.177,11 ; -   
T R Locação de Veículos Ltda - ME; 127.500,68 ; -   
MALTA LOCADORA EIRELI - LTDA; 126.900,00 ; -   
JCK LOCAÇÕES E RECEPTIVOS DE VEÍCULOS LTDA - ME; 124.888,31 ; -   
ARTHUR CARVALHO ADVOCACIA; 124.310,00 ; -   
REDE DE APOIO A GESTÃO PUBLICA E PRIVADA; 124.200,00 ; -   
CLARO; 122.726,11 ; -   
AMARO VIEIRA DE LUCENA; 122.599,22 ; -   
Bernardo de Oliveira Gomes; 120.900,00 ; -   
IN PRESS COMUNICAÇÃO LTDA; 120.360,70 ; -   
CUNHA NEVES E GUERRA ADVOGADOS E CONSULTORES ASSOCIADOS; 118.153,00 ; -   
Top 50 fornecedores; 13.814.728,48 ;
Demais 556 fornecedores; 9.324.453,24 ;
Total; 23.139.181,72 ;
