index Pedidos|Parlamentar|Período|Pedido
1|Adalto Santos|Janeiro de 2015|PEDIDO Nº: 810778-AS/2015 - R$ 7.847,97
1|Adalto Santos|Fevereiro de 2015|PEDIDO Nº: 242610-AS/2015 - R$ 908,48
2|Adalto Santos|Fevereiro de 2015|COMPLEMENTO Nº: 446406-AS/2015 - R$ 5.000,00
1|Adalto Santos|Março de 2015|PEDIDO Nº: 437285-AS/2015 - R$ 6.235,00
2|Adalto Santos|Março de 2015|COMPLEMENTO Nº: 082639-AS/2015 - R$ 5.000,00
1|Adalto Santos|Abril de 2015|PEDIDO Nº: 550870-AS/2015 - R$ 5.408,48
2|Adalto Santos|Abril de 2015|COMPLEMENTO Nº: 365770-AS/2015 - R$ 5.000,00
1|Adalto Santos|Maio de 2015|PEDIDO Nº: 968755-AS/2015 - R$ 11.166,88
1|Adalto Santos|Junho de 2015|PEDIDO Nº: 387313-AS/2015 - R$ 5.693,00
2|Adalto Santos|Junho de 2015|COMPLEMENTO Nº: 671149-AS/2015 - R$ 5.161,40
3|Adalto Santos|Junho de 2015|COMPLEMENTO Nº: 408002-AS/2015 - R$ 1.404,00
1|Adalto Santos|Julho de 2015|PEDIDO Nº: 408146-AS/2015 - R$ 8.506,72
2|Adalto Santos|Julho de 2015|COMPLEMENTO Nº: 652506-AS/2015 - R$ 5.000,00
1|Adalto Santos|Agosto de 2015|PEDIDO Nº: 652361-AS/2015 - R$ 5.161,40
2|Adalto Santos|Agosto de 2015|COMPLEMENTO Nº: 031932-AS/2015 - R$ 2.210,00
1|Adalto Santos|Setembro de 2015|PEDIDO Nº: 855834-AS/2015 - R$ 7.561,40
2|Adalto Santos|Setembro de 2015|COMPLEMENTO Nº: 081716-AS/2015 - R$ 414,47
1|Adalto Santos|Outubro de 2015|PEDIDO Nº: 188993-AS/2015 - R$ 7.561,40
2|Adalto Santos|Outubro de 2015|COMPLEMENTO Nº: 081339-AS/2015 - R$ 1.645,08
1|Adalto Santos|Novembro de 2015|PEDIDO Nº: 080043-AS/2015 - R$ 12.225,32
1|Adalto Santos|Dezembro de 2015|PEDIDO Nº: 081104-AS/2015 - R$ 280,00
2|Adalto Santos|Dezembro de 2015|COMPLEMENTO Nº: 860310-AS/2016 - R$ 10.436,40
1|Adalto Santos|Janeiro de 2016|PEDIDO Nº: 907503-AS/2016 - R$ 6.303,84
2|Adalto Santos|Janeiro de 2016|COMPLEMENTO Nº: 946291-AS/2016 - R$ 1.600,00
1|Adalto Santos|Fevereiro de 2016|PEDIDO Nº: 239952-AS/2016 - R$ 6.896,95
2|Adalto Santos|Fevereiro de 2016|COMPLEMENTO Nº: 045259-AS/2016 - R$ 1.600,00
1|Adalto Santos|Março de 2016|PEDIDO Nº: 903256-AS/2016 - R$ 5.847,50
2|Adalto Santos|Março de 2016|COMPLEMENTO Nº: 045411-AS/2016 - R$ 1.600,00
1|Adalto Santos|Abril de 2016|PEDIDO Nº: 263863-AS/2016 - R$ 3.447,50
2|Adalto Santos|Abril de 2016|COMPLEMENTO Nº: 775948-AS/2016 - R$ 2.621,25
3|Adalto Santos|Abril de 2016|COMPLEMENTO Nº: 355575-AS/2016 - R$ 2.400,00
4|Adalto Santos|Abril de 2016|COMPLEMENTO Nº: 464753-AS/2016 - R$ 790,00
1|Adalto Santos|Maio de 2016|PEDIDO Nº: 466314-AS/2016 - R$ 612,00
2|Adalto Santos|Maio de 2016|COMPLEMENTO Nº: 174008-AS/2016 - R$ 7.790,54
1|Adalto Santos|Junho de 2016|PEDIDO Nº: 032501-AS/2016 - R$ 8.508,20
2|Adalto Santos|Junho de 2016|COMPLEMENTO Nº: 240506-AS/2016 - R$ 2.139,00
1|Adalto Santos|Julho de 2016|PEDIDO Nº: 806266-AS/2016 - R$ 4.968,00
2|Adalto Santos|Julho de 2016|COMPLEMENTO Nº: 549148-AS/2016 - R$ 9.740,36
3|Adalto Santos|Julho de 2016|COMPLEMENTO Nº: 160175-AS/2016 - R$ 700,00
1|Adalto Santos|Agosto de 2016|PEDIDO Nº: 564994-AS/2016 - R$ 13.216,90
2|Adalto Santos|Agosto de 2016|COMPLEMENTO Nº: 160300-AS/2016 - R$ 500,00
1|Adalto Santos|Setembro de 2016|PEDIDO Nº: 158510-AS/2016 - R$ 13.444,36
2|Adalto Santos|Setembro de 2016|COMPLEMENTO Nº: 271020-AS/2016 - R$ 1.668,64
1|Adalto Santos|Outubro de 2016|PEDIDO Nº: 360437-AS/2016 - R$ 1.679,60
2|Adalto Santos|Outubro de 2016|COMPLEMENTO Nº: 791509-AS/2016 - R$ 12.072,42
3|Adalto Santos|Outubro de 2016|COMPLEMENTO Nº: 003056-AS/2016 - R$ 1.088,76
1|Adalto Santos|Novembro de 2016|PEDIDO Nº: 792128-AS/2016 - R$ 1.685,00
2|Adalto Santos|Novembro de 2016|COMPLEMENTO Nº: 002753-AS/2016 - R$ 11.066,29
1|Adalto Santos|Dezembro de 2016|PEDIDO Nº: 002566-AS/2016 - R$ 1.808,55
