Index Verbas|Parlamentar|Período|Tipo Despesa|Data|CNPJ|Empresa|Valor
1|Adalto Santos|Janeiro de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.000,00|05/01/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.000,00
2|Adalto Santos|Janeiro de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 280,00|29/01/2015|40432544010290|CLARO|280,00
3|Adalto Santos|Janeiro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.425,33|13/01/2015|07765858000196|IM - TERCEIRAÇÃO DE SERVIÇOS AUTOMOTIVOS LTDA - ME|993,60
4|Adalto Santos|Janeiro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.425,33|13/01/2015|00558962000160|CEMAUTO SERVIÇOS AUTOMOTIVOS LTDA ME|976,40
5|Adalto Santos|Janeiro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.425,33|28/01/2015|70174909000222|PNEUS & CIA LTDA|455,33
6|Adalto Santos|Janeiro de 2015|XII - Serviços de Telecomunicações em Geral - R$ 142,64|29/01/2015|404325440010290|CLARO|142,64
1|Adalto Santos|Fevereiro de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 779,04|24/02/2015|40432544/0102-90|CLARO|276,00
2|Adalto Santos|Fevereiro de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 779,04|25/02/2015|05580092/0001-40|K2HOST INTERNET LTDA|503,04
3|Adalto Santos|Fevereiro de 2015|XII - Serviços de Telecomunicações em Geral - R$ 129,44|24/02/2015|40432544/00102-90|CLARO|129,44
4|Adalto Santos|Fevereiro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.000,00|15/03/2015|01902835000108|URBANO VITALINO ADVOGADOS|5.000,00
1|Adalto Santos|Março de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 630,00|28/03/2015|02783295000145|SALGUEIRO PLAZA HOTEL LTDA|630,00
2|Adalto Santos|Março de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.240,00|31/03/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.240,00
3|Adalto Santos|Março de 2015|XII - Serviços de Telecomunicações em Geral - R$ 365,00|22/03/2015|40.432.544/0102-90|claro|365,00
4|Adalto Santos|Março de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.000,00|15/04/2015|01902835000108|URBANO VITALINO ADVOGADOS|5.000,00
1|Adalto Santos|Abril de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|29/04/2015|00.000.000/0000-00|(Nota cancelada)|0,00
2|Adalto Santos|Abril de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|29/04/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
3|Adalto Santos|Abril de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 247,08|14/04/2015|18.534.436/0004-79|ALBUQUERQUE SERVIÇO AUTOMOTIVO|247,08
4|Adalto Santos|Abril de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.000,00|29/05/2015|01.902.835/0001-08|URBANO VITALINO ADVOGADOS|5.000,00
1|Adalto Santos|Maio de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.000,00|29/05/2015|01.902.835/0001-08|URBANO VITALINO ADVOGADOS|5.000,00
2|Adalto Santos|Maio de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|28/05/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
3|Adalto Santos|Maio de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 305,00|20/05/2015|40432544/0102-90|CLARO|305,00
4|Adalto Santos|Maio de 2015|XII - Serviços de Telecomunicações em Geral - R$ 700,48|20/05/2015|40432544/0102-90|CLARO|700,48
1|Adalto Santos|Junho de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 693,00|21/06/2015|02783295000145|SALGUEIRO PLASA HOTEL LTDA|693,00
2|Adalto Santos|Junho de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.000,00|30/06/2015|01902835000108|URBANO VITALINO ADVOGADOS|5.000,00
3|Adalto Santos|Junho de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|23/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
4|Adalto Santos|Junho de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|23/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
