Tipo de despesa;2015;2016;2017;Total;%
Aluguel de veículo, Passagem, Hospedagem; 1.941.038 ; 2.095.249 ; 2.123.895 ; 6.160.182 ;27%
Consultoria jurídica, Assessoria técnica; 1.819.512 ; 2.218.669 ; 1.989.869 ; 6.028.050 ;26%
Material de expediente, Copias, Encadernação; 1.018.788 ; 970.434 ; 473.787 ; 2.463.008 ;11%
Divulgação atividade parlamentar; 779.048 ; 337.106 ; 835.707 ; 1.951.861 ;8%
Serviços de internet, Website, Softwares; 509.280 ; 665.531 ; 653.473 ; 1.828.283 ;8%
Serviços gráficos, Edição de revistas e jornais; 542.415 ; 548.657 ; 464.852 ; 1.555.924 ;7%
Locação de Imóveis; 467.568 ; 505.047 ; 571.602 ; 1.544.217 ;7%
Manutenção de veículos; 336.841 ; 381.946 ; 387.302 ; 1.106.090 ;5%
Serviço Postal, Telefonia, Assinatura Jornal; 182.232 ; 175.644 ; 143.691 ; 501.567 ;2%
Total; 7.596.722 ; 7.898.283 ; 7.644.176 ; 23.139.182 ;100%
;;;;;
;;;;;
